login,username
"@Malotrufr","Malotru"
"@julienne1773","Julienne DAVID"
"@zepek_20","Ro‍"
"@flivio3","la f"
"@FPalfroy","Franck Palfroy"
"@PLanonyme","Philou LANONYME"
"@Jym292","Jean-Marc"
"@houdersen","houdersen Armenie Israel"
"@fleursdecactus7","TAILLEUR"
"@adrien_lecorvec","LE CORVEC Adrien"
"@RobinVilles","Robin des villes"
"@SamaelMornings","Samael Morgenstern"
"@DupontN44022861","Dupont Nicolas"
"@Geronimuslll","Geronimus lll"
"@zeigeralexandre","Alexandre Zeiger"
"@ribadeochaud","Ribadeochaud #R"
"@Lejusticier0000","gg"
"@Francais_2_Souc","Français de souche"
"@steph16656","Steph des Ste Marie"
"@isabelle_leole","Léole Isabelle"
"@Daenery_Snow","꧁•⊹٭ 𝐊𝐚𝐥𝐲𝐬 ٭⊹•꧂ ✰"
"@BonfilsPat1","Bon fils Pat"
"@CourrierIn32221","Dobby"
"@Espaceman1","FRANCOIS, jean paul"
"@LombardHermance","Hermance Lombard"
"@patrickmallet14","Patrick Mallet"
"@Mjolnir8","Free #Frexit #RicTm #EDNS #WW4"
"@CFSAOV","Comité Français de Soutien à Orban Viktor"
"@InMemor_IA","In Memor.IA"
"@Satnonyma","Nonima"
"@Didd_died45","Frédéric Didier"
"@JeanCharlesGer6","Jean-Charles Germain"
"@Saephirocks","Saephirocks"
"@wistie3","wistie"
"@ClosYannick","clos yannick"
"@jhell92","valeurs inversées"
"@Moise201672a","Moise2a"
"@VALBERG05","Valérie M"
"@hugues2payns572","hugues de payns"
"@Sudfrancilien91","Chticilien Hervé"
"@Patriotixx","Hkey"
"@FitproSuisse","Chris D"
"@STUMPY21000","Ben On Rise"
"@PhilippeFleury2","bulldogdu12"
"@Bohumil_Jan","Vaclav Borec"
"@OrionSBT","Orion Sombretoile"
"@DesertShroom","Shroom in the desert"
"@Hippocampepour1","BonVentATous"
"@LucaAchache","Achache luca"
"@Tom82100","Thomas"
"@GASNIERNicolas2","Nicolas Gasnier"
"@gitanos_laora","stef"
"@CitoyenneHexago","CitoyenneXPatriote"
"@horelseb14700","Sébastien Le Falaisien"
"@LiliPenseuse","Libre penseuse"
"@ChristoheEmber1","Filoue"
"@UnCitoyenMoyen","Un Français Lambda"
"@i_decrion","Isabelle DECRION BALDO"
"@ArwenPatriote","Arwen le Patriote"
"@alexysiktrice","Alexy"
"@ZemmourZ0Z7FR","Zemmour 2027"
"@JeanlucBayrou","Jean-Luc 31"
"@refractaire1er","Yalta"
"@MarieThrse33512","Marie"
"@Franceunsoumise","La France Unsoumise"
"@eri98690","Citoyen avisé"
"@jeanmarc630624","cola jimmy"
"@rgr20684835","rgr"
"@frankazka","François Suárez"
"@mat_le_gaulois","- Mathieu -𝕏-"
"@Nominoe922","Nominoe"
"@LaFotDiSiounist","Ci La Fot Di Siounist"
"@Jhadopi1","Jean Mouloud"
"@MarieeiraMFauve","Fauve"
"@vincen13000","Jérôme Vincent"
"@Mercenarius5","Mercenarius 55"
"@phyloza","Renan"
"@moniquebreton10","monique breton"
"@JeanLuc1478049","Sentinelle"
"@caillote94","Caillote94"
"@COCOCANNELLE13","COCOCANNELLE"
"@pasdaccord07","Gianluca"
"@NicolasHENCHE","NH"
"@MannlichT34524","Mannlich T"
"@FranceWoke","WokeFrance"
"@nicolas_roro91","WokeHunter"
"@Amar2423","Donald Trump"
"@CathyAlpha1","Catalina"
"@_CorBak_","Cor Bak Xpisti Sigillum Militum"
"@Ll20084","la poto patriote"
"@Pas__Steque","Pas Steque"
"@Louisvailant","Le Vaillant"
"@annie_torrent","Anne de Lyon"
"@anonymement0820","anonymement moi"
"@Pascal1062","Pascal 1062"
"@Zorro_Z0ZZ","Le Z de Zorro"
"@LouiseLec5951","Louise la Patriote"
"@rodolphseamus","rodolphseamus"
"@alleo77400","Séb le patriote"
"@pegasusbridge14","Disorder"
"@francaisechloe","Chloé la Française"
"@Oliver4018","Oliver40"
"@DocteurWoe","Isaac Woe"
"@apokrif1","CHevaliER CaldocHE"
"@Fourvmou","IDEL Libérée"
"@Franceisback1","France is back"
"@MichelLavarenne","MLV"
"@JulesdouardDUP1","Hugo, libre dans sa tête"
"@TroCasse","FloLFIla Macronie  Union des droites!"
"@naphissa007","Vanessa ⓩ"
"@civilisafrance","Mickey vous"
"@FrancoisSolog","Sologne François"
"@NationProRusse","La France U.D.R"
"@Fregono2","Fregono du Berry 2"
"@VoxPopuli_Media","Vox Populi"
"@doubleSkeggox","SkeggØks"
"@MorizeVirginie","Morize Virginie"
"@Gandjuge","KONTRAKTUEL, le média total."
"@TaranisFrance","Taranis France"
"@martinimk56","martini mk 56 BMW"
"@AbbotAmaury","Arnaud Amaury"
"@snykeurs","Snykeurs"
"@KyranaFR","Kyrana"
"@titigirondine","titigirondine"
"@vielo1420","vielo"
"@LicornePat","Licorne Patriote"
"@jwr57990","Chegue va"
"@ldd64","ldd64 ن"
"@BagnoleAu85581","Bagnole sophistiquée perpendiculairement au Bresil"
"@ChristianG5518","Christian Bernard"
